DROGA;CATEGORIA;ESPECIE;FAMILIA;P.A.;EMPLEOS
Hojas de Ginkgo;FLAVONOIDES;Ginkgo biloba;Ginkgoaceas;Flavonoides (quercetol / kenferol / luteolina),Biflavonoides (amentoflavona / ginketol / isogingketol / bilobetol),Lactonas diterpenicos (Ginkgolidos A / B / C / J y M),Lactonas sesquiterpenicos (bilobalido);Vasorregulador,Antioxidante,Antiagregante plaquetario,Neuroprotector
Tallos esteriles de Cola de Caballo;FLAVONOIDES;Equisetum arvense;Equisetaceas;Flavonoides,Acido fenoles derivados del cinamico,Saponosido: EQUISETOSIDO;Diuretico,Hemostatica,Remineralizante
Semilla de Soja;FLAVONOIDES;Glycine max;Fabaceas;Lipidos (leticina),Isoflavonas (daidzeina, genisteina);Preventiva del cancer (mujer),Trastornos de la menopausia
Hojas de Arandanos;ANTOCIANOS;Vaccinium myrtillus L.;Ericaceae;Taninos,FLAVOIDES,Acidos fenoles;Protectores venosos,Antioxidantes,Antisepticas
Frutos de Camberry;ANTOCIANOS;Vaccinium macrocarpen Aiton;Ericaceae;ANTOCIANOS,Taninos,FLAVOIDES,Acidos fenoles;INFECCIONES URINARIAS,Protectores venosos,Antioxidantes,Antisepticas
Hojas y fruto de Grosellero negro;ANTOCIANOS;Ribes nigrum L.;Grosulariacea;Taninos,FLAVOIDES,Acidos fenoles;Protectores venosos,Antioxidantes,Antisepticas
Hojas y semillas de Vid Roja;ANTOCIANOS;Vitis vinifera L.;Vitaceae;Taninos,FLAVOIDES,Acidos fenoles,HOJAS: Cianidol / Peonidol;Protectores venosos,Antioxidantes,Antisepticas,RESVERATROL: ESTILBILENO
Agallas de Roble;TANINOS;Quercus infectoria;Fagacea;Tanino galico 50-70%;Astringente, Hemostatico y vasoconstrictor
Hojas y Corteza de Hamemelis virginiana;TANINOS;Hamemelis virginiana;Hamamelidacea;HOJAS: Tanino galicos 10%: Hamamelitianino,CORTEZA: Taninos condensados: Hamamelitanino;Bacteriostatico,Protectores venosos,insuficiencia venosa,Sindrome hemorroidal,Irritacion y trastornos oculares,Cosmetica: (Agua de Hamemelis)
Hojas de Gayuba;QUINONAS;Arctostaphylus uva-ursi L.;Ericaceas;Hidroquinona;Despigmentante
Hojas de Lawsonia inermis;QUINONAS;Lawsonia inermis;Lytraceas;Lawsoma;Colorante de cabellos
Hojas de Juglans regia;QUINONAS;Juglans regia (nogal);Junglandaceas;Juglona;Antifungica,Antibacteriana
Sumidad de Drosera rotindifolia;QUINONAS;Drosera rotindifolia (carnivora);Droseraceas;Plumbagona;Relajante de musculatura lisa: tos espasmodica
Corteza de Frangula;QUINONAS;Ramnis frangula;Ramnaceas;Fangulosido A y B,Glucofrangulosido A y B;Laxante estimulante
Corteza de Cascara Sagrada;QUINONAS;Ramnus pursiana;Ramnaceas;Cascarosidos (C-Heterosidos + O-Heterosidos);Laxante estimulante
Hoja y Fruto de Senes;QUINONAS;Cassia angustifolia,Cassia senna;Leguminosas;Senosidos A, B, C y D (en droga desecada solo);Laxante estimulante
Hoja de Aloe;QUINONAS;Aloe barbadensis (A. vera),Aloe del Cabo (A.ferox);Lilaceas;Aloina/Barbaleina,Aloinosido;AZIBAR: Laxante estimulante,GEL: Hidratante / Aislante / Dermoprotector
Sumidad florida de Hiperico (Hierba de San Juan);QUINONAS;Hypericum perforatum;Clusiaceae;Hiperforina(<-floroglucinol),Hipericina y pseudohipericina;Externo: Cicatrizante / Antiinflamatorio / Antivitales / Antibacteriano,Interno: Antidepresivo 
Sumidad de Canamo Indiano;QUINONAS;Cannabis sativa;Cannabaceas;SUMIDAD FEMENINA NO DESPROVISTA DE RESINA: Terpenfenoles: Alpha Tetrahidrocannabinol (THC),Cannabinol,Cannabidiol,Precursor: Cannabigerol;Efecto psicoactivo (THC),Euforia,Sedacion,Alteracion memoria a corto plazo,Broncodilator,VOMITOS QUIMOTERAPIA,ANOREXIA TERMINAL,RIGIDEZ MUSCULAR EN EM
